DESA,PROVINSI,KAB_KOTA,KECAMATAN
SUMUR WELUT,JAWA TIMUR,SURABAYA,LAKARSANTRI
KANDANGAN,JAWA TIMUR,SURABAYA,BENOWO
TAMBAK OSOWILANGUN,JAWA TIMUR,SURABAYA,BENOWO
ROMOKALISARI,JAWA TIMUR,SURABAYA,BENOWO
WIYUNG,JAWA TIMUR,SURABAYA,WIYUNG
GUNUNG SARI,JAWA TIMUR,SURABAYA,DUKUHPAKIS
GAYUNGAN,JAWA TIMUR,SURABAYA,GAYUNGAN
JAMBANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN
KARAH,JAWA TIMUR,SURABAYA,JAMBANGAN
KEBONSARI,JAWA TIMUR,SURABAYA,JAMBANGAN
KENDANGSARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
KALIJUDAN,JAWA TIMUR,SURABAYA,MULYOREJO
RUNGKUT TENGAH,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
MANYAR SABRANGAN,JAWA TIMUR,SURABAYA,MULYOREJO
KALISARI,JAWA TIMUR,SURABAYA,MULYOREJO
DUKUH SUTOREJO,JAWA TIMUR,SURABAYA,MULYOREJO
ASEM ROWO,JAWA TIMUR,SURABAYA,ASEM ROWO
GENTING KALIANAK,JAWA TIMUR,SURABAYA,ASEM ROWO
PAKAL,JAWA TIMUR,SURABAYA,PAKAL
SUMBER REJO,JAWA TIMUR,SURABAYA,PAKAL
BENOWO,JAWA TIMUR,SURABAYA,PAKAL
GUNDIH,JAWA TIMUR,SURABAYA,BUBUTAN
TEMBOK DUKUH,JAWA TIMUR,SURABAYA,BUBUTAN
PENELEH,JAWA TIMUR,SURABAYA,GENTENG
KARANG POH,JAWA TIMUR,SURABAYA,TANDES
TAMBAKSARI,JAWA TIMUR,SURABAYA,TAMBAKSARI
KEDUNG COWEK,JAWA TIMUR,SURABAYA,BULAK
PLOSO,JAWA TIMUR,SURABAYA,TAMBAKSARI
KENJERAN,JAWA TIMUR,SURABAYA,BULAK
KAPASARI,JAWA TIMUR,SURABAYA,GENTENG
KEBRAON,JAWA TIMUR,SURABAYA,KARANGPILANG
KEDURUS,JAWA TIMUR,SURABAYA,KARANGPILANG
WARUGUNUNG,JAWA TIMUR,SURABAYA,KARANGPILANG
SUKOLILO BARU,JAWA TIMUR,SURABAYA,BULAK
BENDUL MERISI,JAWA TIMUR,SURABAYA,WONOCOLO
MARGOREJO,JAWA TIMUR,SURABAYA,WONOCOLO
JAGIR,JAWA TIMUR,SURABAYA,WONOKROMO
JEMUR WONOSARI,JAWA TIMUR,SURABAYA,WONOCOLO
SIWALANKERTO,JAWA TIMUR,SURABAYA,WONOCOLO
PENJARINGANSARI,JAWA TIMUR,SURABAYA,RUNGKUT
LONTAR,JAWA TIMUR,SURABAYA,SAMBIKEREP
NGAGEL REJO,JAWA TIMUR,SURABAYA,WONOKROMO
DARMO,JAWA TIMUR,SURABAYA,WONOKROMO
PETEMON,JAWA TIMUR,SURABAYA,SAWAHAN
PUTATJAYA,JAWA TIMUR,SURABAYA,SAWAHAN
KUPANG KRAJAN,JAWA TIMUR,SURABAYA,SAWAHAN
PAKIS,JAWA TIMUR,SURABAYA,SAWAHAN
EMBONG KALIASIN,JAWA TIMUR,SURABAYA,GENTENG
KEPUTRAN,JAWA TIMUR,SURABAYA,TEGALSARI
GUBENG,JAWA TIMUR,SURABAYA,GUBENG
MOJO,JAWA TIMUR,SURABAYA,GUBENG
KERTAJAYA,JAWA TIMUR,SURABAYA,GUBENG
PUCANGSEWU,JAWA TIMUR,SURABAYA,GUBENG
KEPUTIH,JAWA TIMUR,SURABAYA,SUKOLILO
KLAMPIS NGASEM,JAWA TIMUR,SURABAYA,SUKOLILO
MEDOKAN SEMAMPIR,JAWA TIMUR,SURABAYA,SUKOLILO
PACAR KELING,JAWA TIMUR,SURABAYA,TAMBAKSARI
KAPASMADYA BARU,JAWA TIMUR,SURABAYA,TAMBAKSARI
DUKUH SETRO,JAWA TIMUR,SURABAYA,TAMBAKSARI
SIMOKERTO,JAWA TIMUR,SURABAYA,SIMOKERTO
KAPASAN,JAWA TIMUR,SURABAYA,SIMOKERTO
SIMOLAWANG,JAWA TIMUR,SURABAYA,SIMOKERTO
TAMBAKREJO,JAWA TIMUR,SURABAYA,SIMOKERTO
NYAMPLUNGAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
PERAK TIMUR,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
PERAK UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
BALONGSARI,JAWA TIMUR,SURABAYA,TANDES
MANUKAN WETAN,JAWA TIMUR,SURABAYA,TANDES
BANJAR SUGIHAN,JAWA TIMUR,SURABAYA,TANDES
KEMAYORAN,JAWA TIMUR,SURABAYA,KREMBANGAN
DUPAK,JAWA TIMUR,SURABAYA,KREMBANGAN
WONOKUSUMO,JAWA TIMUR,SURABAYA,SEMAMPIR
UJUNG,JAWA TIMUR,SURABAYA,SEMAMPIR
TANAH KALIKEDINDING,JAWA TIMUR,SURABAYA,KENJERAN
BULAK BANTENG,JAWA TIMUR,SURABAYA,KENJERAN
JERUK,JAWA TIMUR,SURABAYA,LAKARSANTRI
LAKARSANTRI,JAWA TIMUR,SURABAYA,LAKARSANTRI
LIDAH WETAN,JAWA TIMUR,SURABAYA,LAKARSANTRI
JAJAR TUNGGAL,JAWA TIMUR,SURABAYA,WIYUNG
BABATAN,JAWA TIMUR,SURABAYA,WIYUNG
BALAS KLUMPRIK,JAWA TIMUR,SURABAYA,WIYUNG
DUKUH PAKIS,JAWA TIMUR,SURABAYA,DUKUHPAKIS
DUKUH KUPANG,JAWA TIMUR,SURABAYA,DUKUHPAKIS
PRADAKALIKENDAL,JAWA TIMUR,SURABAYA,DUKUHPAKIS
MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN
DUKUH MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN
KETINTANG,JAWA TIMUR,SURABAYA,GAYUNGAN
PAGESANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN
KUTISARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
TENGILIS MEJOYO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
PANJANG JIWO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
GUNUNG ANYAR,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
RUNGKUT MENANGGAL,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
GUNUNG ANYAR TAMBAK,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
MULYOREJO,JAWA TIMUR,SURABAYA,MULYOREJO
KEJAWAAN PUTIH TAMBA,JAWA TIMUR,SURABAYA,MULYOREJO
SUKOMANUNGGAL,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
TANJUNGSARI,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
SONOKWIJENAN,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
PUTAT GEDE,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
SIMOMULYO,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
SIMOMULYO BARU,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
BABAT JERAWAT,JAWA TIMUR,SURABAYA,PAKAL
SAMBIKEREP,JAWA TIMUR,SURABAYA,SAMBIKEREP
MADE,JAWA TIMUR,SURABAYA,SAMBIKEREP
BRINGIN,JAWA TIMUR,SURABAYA,SAMBIKEREP
