DESA,PROVINSI,KAB_KOTA,KECAMATAN,WILAYAH
PUTATJAYA,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
KUPANG KRAJAN,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
PAKIS,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
EMBONG KALIASIN,JAWA TIMUR,SURABAYA,GENTENG,SURABAYA PUSAT
KEPUTRAN,JAWA TIMUR,SURABAYA,TEGALSARI,SURABAYA PUSAT
GUBENG,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
MOJO,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
KERTAJAYA,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
PUCANGSEWU,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
KEPUTIH,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
KLAMPIS NGASEM,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
MEDOKAN SEMAMPIR,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
PACAR KELING,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
KAPASMADYA BARU,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
DUKUH SETRO,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
SIMOKERTO,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
KAPASAN,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
SIMOLAWANG,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
TAMBAKREJO,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
NYAMPLUNGAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
PERAK TIMUR,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
PERAK UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
BALONGSARI,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
MANUKAN WETAN,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
BANJAR SUGIHAN,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
KEMAYORAN,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
DUPAK,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
WONOKUSUMO,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
UJUNG,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
TANAH KALIKEDINDING,JAWA TIMUR,SURABAYA,KENJERAN,SURABAYA UTARA
BULAK BANTENG,JAWA TIMUR,SURABAYA,KENJERAN,SURABAYA UTARA
JERUK,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
LAKARSANTRI,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
LIDAH WETAN,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
JAJAR TUNGGAL,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
BABATAN,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
BALAS KLUMPRIK,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
DUKUH PAKIS,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
DUKUH KUPANG,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
PRADAKALIKENDAL,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
DUKUH MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
KETINTANG,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
PAGESANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN,SURABAYA SELATAN
KUTISARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
TENGILIS MEJOYO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
PANJANG JIWO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
GUNUNG ANYAR,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
RUNGKUT MENANGGAL,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
GUNUNG ANYAR TAMBAK,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
MULYOREJO,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
KEJAWAAN PUTIH TAMBA,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
SUKOMANUNGGAL,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
TANJUNGSARI,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
SONOKWIJENAN,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
PUTAT GEDE,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
SIMOMULYO,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
SIMOMULYO BARU,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
BABAT JERAWAT,JAWA TIMUR,SURABAYA,PAKAL,SURABAYA BARAT
SAMBIKEREP,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
MADE,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
BRINGIN,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
